ano,id_municipio,quantidade_escolas
2019,1100015,34
2019,1100023,50
2019,1100049,61
2019,1100064,15
2019,1100072,9
2019,1100098,25
2019,1100106,61
2019,1100122,91
2019,1100148,11
2019,1100189,30
2019,1100205,289
2019,1100254,19
2019,1100262,3
2019,1100288,28
2019,1100304,58
2019,1100320,17
2019,1100338,67
2019,1100346,15
2019,1100379,12
2019,1100403,12
2019,1100452,21
2019,1100601,5
2019,1100908,3
2019,1100940,8
2019,1101203,7
2019,1101401,9
2019,1101435,5
2019,1101492,13
2019,1101609,8
2019,1101708,9
2019,1101757,6
2019,1200104,40
2019,1200138,36
2019,1200179,15
2019,1200203,181
2019,1200302,149
2019,1200336,43
2019,1200351,60
2019,1200385,25
2019,1200401,277
2019,1200427,65
2019,1200450,33
2019,1200500,151
2019,1200609,90
2019,1200708,59
2019,1200807,32
2019,1300029,62
2019,1300060,27
2019,1300086,30
2019,1300102,20
2019,1300144,15
2019,1300201,71
2019,1300300,53
2019,1300508,105
2019,1300607,66
2019,1300631,64
2019,1300680,50
2019,1300805,167
2019,1300839,48
2019,1301100,50
2019,1301159,54
2019,1301209,138
2019,1301308,66
2019,1301407,50
2019,1301506,44
2019,1301605,60
2019,1301704,98
2019,1301852,70
2019,1301902,145
2019,1302009,25
2019,1302207,36
2019,1302306,94
2019,1302504,156
2019,1302603,978
2019,1302702,160
2019,1302801,101
2019,1302900,189
2019,1303007,63
2019,1303106,69
2019,1303205,26
2019,1303304,52
2019,1303403,176
2019,1303502,77
2019,1303536,34
2019,1303569,27
2019,1303601,50
2019,1303809,241
2019,1303908,82
2019,1304005,13
2019,1304062,58
2019,1304104,83
2019,1304203,109
2019,1304260,45
2019,1304401,32
2019,1400027,51
2019,1400050,44
2019,1400100,239
2019,1400159,34
2019,1400175,51
2019,1400456,56
2019,1400506,12
2019,1400605,10
2019,1400704,106
2019,1500206,158
2019,1500305,96
2019,1500404,121
2019,1500503,78
2019,1500602,149
2019,1500701,104
2019,1500800,284
2019,1500859,63
2019,1500909,82
2019,1500958,76
2019,1501006,55
2019,1501105,60
2019,1501204,75
2019,1501253,8
2019,1501303,128
2019,1501402,700
2019,1501451,50
2019,1501501,57
2019,1501576,24
2019,1501709,174
2019,1501725,37
2019,1501758,15
2019,1501782,35
2019,1501808,270
2019,1501907,69
2019,1501956,49
2019,1502004,43
2019,1502103,224
2019,1502152,34
2019,1502202,65
2019,1502301,118
2019,1502400,138
2019,1502509,97
2019,1502707,32
2019,1502764,18
2019,1502772,23
2019,1502806,46
2019,1502905,64
2019,1502954,47
2019,1503044,24
2019,1503077,60
2019,1503093,49
2019,1503101,92
2019,1503200,69
2019,1503309,119
2019,1503408,29
2019,1503457,71
2019,1503507,111
2019,1503606,135
2019,1503705,92
2019,1503754,63
2019,1503804,49
2019,1503903,124
2019,1504000,52
2019,1504059,51
2019,1504208,267
2019,1504307,87
2019,1504406,60
2019,1504422,81
2019,1504455,39
2019,1504505,54
2019,1504604,61
2019,1504703,174
2019,1504752,58
2019,1504802,143
2019,1504901,45
2019,1504950,47
2019,1504976,21
2019,1505031,32
2019,1505064,121
2019,1505106,96
2019,1505205,48
2019,1505304,99
2019,1505437,35
2019,1505486,128
2019,1505502,98
2019,1505536,126
2019,1505551,11
2019,1505601,17
2019,1505650,61
2019,1505700,56
2019,1505809,166
2019,1505908,97
2019,1506005,110
2019,1506138,60
2019,1506161,16
2019,1506187,34
2019,1506195,65
2019,1506302,49
2019,1506401,20
2019,1506500,64
2019,1506559,31
