ano,id_municipio,numero_obitos
2019,1400027,75
2019,1400050,133
2019,1400100,1879
2019,1400159,50
2019,1400175,74
2019,1400209,101
2019,1400233,33
2019,1400282,41
2019,1400308,87
2019,1400407,46
2019,1400456,66
2019,1400472,88
2019,1400506,34
2019,1400605,27
2019,1400704,45
2019,2200053,37
2019,2200103,44
2019,2200202,101
2019,2200251,63
2019,2200277,32
2019,2200301,89
2019,2200400,266
2019,2200459,25
2019,2200509,145
2019,2200608,60
2019,2200707,51
2019,2200806,18
2019,2200905,49
2019,2200954,22
2019,2201002,26
2019,2201051,35
2019,2201101,67
2019,2201150,42
2019,2201176,31
2019,2201200,253
2019,2201309,18
2019,2201408,57
2019,2201507,153
2019,2201556,24
2019,2201572,31
2019,2201606,53
2019,2201705,48
2019,2201739,36
2019,2201770,28
2019,2201804,43
2019,2201903,123
2019,2201919,48
2019,2201929,36
2019,2201945,31
2019,2201960,47
2019,2201988,27
2019,2202000,157
2019,2202026,33
2019,2202059,67
2019,2202075,21
2019,2202083,54
2019,2202091,35
2019,2202109,32
2019,2202117,33
2019,2202133,33
2019,2202174,23
2019,2202208,356
2019,2202251,21
2019,2202307,162
2019,2202406,66
2019,2202455,29
2019,2202505,67
2019,2202539,41
2019,2202554,26
2019,2202604,129
2019,2202653,27
2019,2202703,176
2019,2202711,33
2019,2202729,30
2019,2202737,17
2019,2202752,40
2019,2202778,47
2019,2202802,24
2019,2202851,22
2019,2202901,151
2019,2203008,16
2019,2203107,63
2019,2203206,65
2019,2203230,17
2019,2203255,22
2019,2203271,12
2019,2203305,106
2019,2203354,25
2019,2203404,58
2019,2203420,27
2019,2203453,47
2019,2203503,112
2019,2203602,35
2019,2203701,271
2019,2203750,20
2019,2203800,38
2019,2203859,18
2019,2203909,420
2019,2204006,50
2019,2204105,30
2019,2204154,24
2019,2204204,52
2019,2204303,69
2019,2204352,31
2019,2204402,53
2019,2204501,84
2019,2204550,10
2019,2204600,29
2019,2204659,55
2019,2204709,107
2019,2204808,76
2019,2204907,51
2019,2205003,89
2019,2205102,84
2019,2205151,37
2019,2205201,134
2019,2205250,26
2019,2205276,33
2019,2205300,39
2019,2205359,12
2019,2205409,63
2019,2205458,22
2019,2205508,261
2019,2205516,18
2019,2205524,30
2019,2205532,31
2019,2205540,19
2019,2205557,47
2019,2205565,33
2019,2205573,35
2019,2205581,23
2019,2205599,20
2019,2205607,32
2019,2205706,149
2019,2205805,182
2019,2205854,33
2019,2205904,36
2019,2205953,52
2019,2206001,45
2019,2206050,44
2019,2206100,53
2019,2206209,177
2019,2206308,8
2019,2206357,38
2019,2206407,57
2019,2206506,59
2019,2206605,47
2019,2206654,17
2019,2206670,33
2019,2206696,42
2019,2206704,43
2019,2206720,67
2019,2206753,35
2019,2206803,43
2019,2206902,40
2019,2206951,19
2019,2207009,257
2019,2207108,11
2019,2207207,59
2019,2207306,38
2019,2207355,14
2019,2207405,26
2019,2207504,93
2019,2207553,32
2019,2207603,42
2019,2207702,1071
2019,2207751,20
2019,2207777,42
2019,2207793,20
2019,2207801,153
2019,2207850,15
2019,2207900,250
2019,2207934,11
2019,2207959,26
2019,2208007,492
2019,2208106,63
2019,2208205,107
2019,2208304,196
2019,2208403,453
2019,2208502,56
2019,2208551,15
2019,2208601,26
2019,2208650,51
2019,2208700,47
2019,2208809,137
2019,2208858,22
2019,2208874,32
2019,2208908,40
2019,2209005,40
2019,2209104,49
2019,2209153,20
2019,2209203,32
2019,2209302,29
2019,2209351,37
2019,2209377,33
2019,2209401,43
2019,2209450,13
2019,2209500,25
2019,2209559,23
2019,2209609,18
2019,2209658,48
2019,2209708,54
2019,2209757,17
2019,2209807,39
2019,2209856,38
2019,2209872,28
2019,2209906,63
2019,2209955,31
2019,2209971,60
2019,2210003,116
2019,2210052,41
2019,2210102,22
2019,2210201,56
2019,2210300,56
2019,2210359,34
2019,2210375,13
2019,2210383,18
2019,2210391,28
2019,2210409,86
2019,2210508,117
2019,2210607,212
2019,2210623,16
2019,2210631,28
2019,2210656,57
2019,2210706,90
2019,2210805,83
2019,2210904,31
2019,2210938,56
2019,2210953,18
2019,2210979,24
